sequences,author
"['head,', 'said,', 'with\n', 'more', 'kindness', 'than', 'might', 'have', 'been', 'expected', 'of', 'him:\n', '\n', ""'Oh,"", 'you', 'must', 'not', 'talk', 'about', 'dying', ""yet.'\n"", '\n', ""'Lor"", 'bless', 'her']",CharlesDickens
"['dear', 'heart,', ""no!'"", 'interposed', 'the', 'nurse,', 'hastily\n', 'depositing', 'in', 'her', 'pocket', 'a', 'green', 'glass', 'bottle,', 'the', 'contents', 'of', 'which\n', 'she', 'had', 'been', 'tasting', 'in', 'a']",CharlesDickens
"['corner', 'with', 'evident', 'satisfaction.\n', '\n', ""'Lor"", 'bless', 'her', 'dear', 'heart,', 'when', 'she', 'has', 'lived', 'as', 'long', 'as', 'I', 'have,', 'sir,\n', 'and', 'had', 'thirteen', 'children', 'of']",CharlesDickens
"['her', 'own,', 'and', 'all', 'on', ""'em"", 'dead', 'except', 'two,\n', 'and', 'them', 'in', 'the', 'wurkus', 'with', 'me,', ""she'll"", 'know', 'better', 'than', 'to', 'take', 'on', 'in\n', 'that']",CharlesDickens
"['way,', 'bless', 'her', 'dear', 'heart!', '', 'Think', 'what', 'it', 'is', 'to', 'be', 'a', 'mother,\n', ""there's"", 'a', 'dear', 'young', 'lamb', ""do.'\n"", '\n', 'Apparently', 'this', 'consolatory', 'perspective']",CharlesDickens
"['of', 'a', ""mother's"", 'prospects', 'failed\n', 'in', 'producing', 'its', 'due', 'effect.', '', 'The', 'patient', 'shook', 'her', 'head,', 'and', 'stretched\n', 'out', 'her', 'hand', 'towards', 'the', 'child.\n', '\n']",CharlesDickens
"['The', 'surgeon', 'deposited', 'it', 'in', 'her', 'arms.', '', 'She', 'imprinted', 'her', 'cold', 'white\n', 'lips', 'passionately', 'on', 'its', 'forehead;', 'passed', 'her', 'hands', 'over', 'her', 'face;\n', 'gazed']",CharlesDickens
"['wildly', 'round;', 'shuddered;', 'fell', 'back--and', 'died.', 'They', 'chafed', 'her\n', 'breast,', 'hands,', 'and', 'temples;', 'but', 'the', 'blood', 'had', 'stopped', 'forever.', '', 'They\n', 'talked', 'of', 'hope', 'and']",CharlesDickens
"['comfort.', 'They', 'had', 'been', 'strangers', 'too', 'long.\n', '\n', ""'It's"", 'all', 'over,', 'Mrs.', ""Thingummy!'"", 'said', 'the', 'surgeon', 'at', 'last.\n', '\n', ""'Ah,"", 'poor', 'dear,', 'so', 'it', ""is!'""]",CharlesDickens
"['said', 'the', 'nurse,', 'picking', 'up', 'the', 'cork', 'of', 'the\n', 'green', 'bottle,', 'which', 'had', 'fallen', 'out', 'on', 'the', 'pillow,', 'as', 'she', 'stooped', 'to\n', 'take', 'up', 'the']",CharlesDickens
"['child.', '', ""'Poor"", ""dear!'\n"", '\n', ""'You"", ""needn't"", 'mind', 'sending', 'up', 'to', 'me,', 'if', 'the', 'child', 'cries,', ""nurse,'"", 'said\n', 'the', 'surgeon,', 'putting', 'on', 'his', 'gloves', 'with']",CharlesDickens
"['great', 'deliberation.', ""'It's"", 'very\n', 'likely', 'it', '_will_', 'be', 'troublesome.', 'Give', 'it', 'a', 'little', 'gruel', 'if', 'it', ""is.'"", '', 'He\n', 'put', 'on', 'his', 'hat,', 'and,', 'pausing']",CharlesDickens
"['by', 'the', 'bed-side', 'on', 'his', 'way', 'to', 'the', 'door,\n', 'added,', ""'She"", 'was', 'a', 'good-looking', 'girl,', 'too;', 'where', 'did', 'she', 'come', ""from?'\n"", '\n', ""'She"", 'was', 'brought']",CharlesDickens
"['here', 'last', ""night,'"", 'replied', 'the', 'old', 'woman,', ""'by"", 'the\n', ""overseer's"", 'order.', '', 'She', 'was', 'found', 'lying', 'in', 'the', 'street.', '', 'She', 'had', 'walked\n', 'some', 'distance,']",CharlesDickens
"['for', 'her', 'shoes', 'were', 'worn', 'to', 'pieces;', 'but', 'where', 'she', 'came\n', 'from,', 'or', 'where', 'she', 'was', 'going', 'to,', 'nobody', ""knows.'\n"", '\n', 'The', 'surgeon', 'leaned', 'over']",CharlesDickens
"['the', 'body,', 'and', 'raised', 'the', 'left', 'hand.', '', ""'The"", 'old\n', ""story,'"", 'he', 'said,', 'shaking', 'his', 'head:', ""'no"", 'wedding-ring,', 'I', 'see.', 'Ah!\n', ""Good-night!'\n"", '\n', 'The', 'medical']",CharlesDickens
"['gentleman', 'walked', 'away', 'to', 'dinner;', 'and', 'the', 'nurse,', 'having', 'once\n', 'more', 'applied', 'herself', 'to', 'the', 'green', 'bottle,', 'sat', 'down', 'on', 'a', 'low', 'chair\n', 'before', 'the']",CharlesDickens
"['fire,', 'and', 'proceeded', 'to', 'dress', 'the', 'infant.\n', '\n', 'What', 'an', 'excellent', 'example', 'of', 'the', 'power', 'of', 'dress,', 'young', 'Oliver', 'Twist\n', 'was!', '', 'Wrapped', 'in', 'the']",CharlesDickens
"['blanket', 'which', 'had', 'hitherto', 'formed', 'his', 'only\n', 'covering,', 'he', 'might', 'have', 'been', 'the', 'child', 'of', 'a', 'nobleman', 'or', 'a', 'beggar;', 'it\n', 'would', 'have', 'been', 'hard']",CharlesDickens
"['for', 'the', 'haughtiest', 'stranger', 'to', 'have', 'assigned', 'him\n', 'his', 'proper', 'station', 'in', 'society.', '', 'But', 'now', 'that', 'he', 'was', 'enveloped', 'in', 'the\n', 'old', 'calico', 'robes']",CharlesDickens
"['which', 'had', 'grown', 'yellow', 'in', 'the', 'same', 'service,', 'he', 'was\n', 'badged', 'and', 'ticketed,', 'and', 'fell', 'into', 'his', 'place', 'at', 'once--a', 'parish\n', 'child--the', 'orphan', 'of', 'a']",CharlesDickens
"['workhouse--the', 'humble,', 'half-starved', 'drudge--to\n', 'be', 'cuffed', 'and', 'buffeted', 'through', 'the', 'world--despised', 'by', 'all,', 'and', 'pitied\n', 'by', 'none.\n', '\n', 'Oliver', 'cried', 'lustily.', 'If', 'he', 'could', 'have']",CharlesDickens
"['known', 'that', 'he', 'was', 'an', 'orphan,\n', 'left', 'to', 'the', 'tender', 'mercies', 'of', 'church-wardens', 'and', 'overseers,', 'perhaps', 'he\n', 'would', 'have', 'cried', 'the', 'louder.\n', '\n', '\n', '\n']",CharlesDickens
"['CHAPTER', 'II\n', '\n', 'TREATS', 'OF', 'OLIVER', ""TWIST'S"", 'GROWTH,', 'EDUCATION,', 'AND', 'BOARD\n', '\n', 'For', 'the', 'next', 'eight', 'or', 'ten', 'months,', 'Oliver', 'was', 'the', 'victim', 'of', 'a']",CharlesDickens
"['systematic\n', 'course', 'of', 'treachery', 'and', 'deception.', '', 'He', 'was', 'brought', 'up', 'by', 'hand.', '', 'The\n', 'hungry', 'and', 'destitute', 'situation', 'of', 'the', 'infant', 'orphan', 'was', 'duly']",CharlesDickens
"['reported\n', 'by', 'the', 'workhouse', 'authorities', 'to', 'the', 'parish', 'authorities.', '', 'The', 'parish\n', 'authorities', 'inquired', 'with', 'dignity', 'of', 'the', 'workhouse', 'authorities,', 'whether\n', 'there', 'was', 'no', 'female']",CharlesDickens
"['then', 'domiciled', 'in', ""'the"", ""house'"", 'who', 'was', 'in', 'a\n', 'situation', 'to', 'impart', 'to', 'Oliver', 'Twist,', 'the', 'consolation', 'and', 'nourishment', 'of\n', 'which', 'he', 'stood', 'in', 'need.']",CharlesDickens
"['', 'The', 'workhouse', 'authorities', 'replied', 'with\n', 'humility,', 'that', 'there', 'was', 'not.', 'Upon', 'this,', 'the', 'parish', 'authorities\n', 'magnanimously', 'and', 'humanely', 'resolved,', 'that', 'Oliver', 'should', 'be', ""'farmed,'\n""]",CharlesDickens
"['or,', 'in', 'other', 'words,', 'that', 'he', 'should', 'be', 'dispatched', 'to', 'a', 'branch-workhouse\n', 'some', 'three', 'miles', 'off,', 'where', 'twenty', 'or', 'thirty', 'other', 'juvenile', 'offenders\n', 'against', 'the']",CharlesDickens
"['poor-laws,', 'rolled', 'about', 'the', 'floor', 'all', 'day,', 'without', 'the\n', 'inconvenience', 'of', 'too', 'much', 'food', 'or', 'too', 'much', 'clothing,', 'under', 'the', 'parental\n', 'superintendence', 'of', 'an', 'elderly']",CharlesDickens
"['female,', 'who', 'received', 'the', 'culprits', 'at', 'and\n', 'for', 'the', 'consideration', 'of', 'sevenpence-halfpenny', 'per', 'small', 'head', 'per', 'week.\n', ""Sevenpence-halfpenny's"", 'worth', 'per', 'week', 'is', 'a', 'good', 'round']",CharlesDickens
"['diet', 'for', 'a', 'child;\n', 'a', 'great', 'deal', 'may', 'be', 'got', 'for', 'sevenpence-halfpenny,', 'quite', 'enough', 'to\n', 'overload', 'its', 'stomach,', 'and', 'make', 'it', 'uncomfortable.', 'The', 'elderly', 'female']",CharlesDickens
"['was\n', 'a', 'woman', 'of', 'wisdom', 'and', 'experience;', 'she', 'knew', 'what', 'was', 'good', 'for', 'children;\n', 'and', 'she', 'had', 'a', 'very', 'accurate', 'perception', 'of', 'what', 'was', 'good']",CharlesDickens
"['for', 'herself.\n', 'So,', 'she', 'appropriated', 'the', 'greater', 'part', 'of', 'the', 'weekly', 'stipend', 'to', 'her', 'own\n', 'use,', 'and', 'consigned', 'the', 'rising', 'parochial', 'generation', 'to', 'even', 'a']",CharlesDickens
"['shorter\n', 'allowance', 'than', 'was', 'originally', 'provided', 'for', 'them.', '', 'Thereby', 'finding', 'in\n', 'the', 'lowest', 'depth', 'a', 'deeper', 'still;', 'and', 'proving', 'herself', 'a', 'very', 'great\n', 'experimental']",CharlesDickens
"['philosopher.\n', '\n', 'Everybody', 'knows', 'the', 'story', 'of', 'another', 'experimental', 'philosopher', 'who', 'had', 'a\n', 'great', 'theory', 'about', 'a', 'horse', 'being', 'able', 'to', 'live', 'without', 'eating,', 'and']",CharlesDickens
"['who\n', 'demonstrated', 'it', 'so', 'well,', 'that', 'he', 'had', 'got', 'his', 'own', 'horse', 'down', 'to', 'a', 'straw\n', 'a', 'day,', 'and', 'would', 'unquestionably', 'have', 'rendered', 'him', 'a']",CharlesDickens
"['very', 'spirited', 'and\n', 'rampacious', 'animal', 'on', 'nothing', 'at', 'all,', 'if', 'he', 'had', 'not', 'died,\n', 'four-and-twenty', 'hours', 'before', 'he', 'was', 'to', 'have', 'had', 'his', 'first', 'comfortable\n']",CharlesDickens
"['bait', 'of', 'air.', '', 'Unfortunately', 'for,', 'the', 'experimental', 'philosophy', 'of', 'the\n', 'female', 'to', 'whose', 'protecting', 'care', 'Oliver', 'Twist', 'was', 'delivered', 'over,', 'a\n', 'similar', 'result', 'usually']",CharlesDickens
"['attended', 'the', 'operation', 'of', '_her_', 'system;', 'for', 'at\n', 'the', 'very', 'moment', 'when', 'the', 'child', 'had', 'contrived', 'to', 'exist', 'upon', 'the', 'smallest\n', 'possible', 'portion', 'of', 'the']",CharlesDickens
"['weakest', 'possible', 'food,', 'it', 'did', 'perversely', 'happen\n', 'in', 'eight', 'and', 'a', 'half', 'cases', 'out', 'of', 'ten,', 'either', 'that', 'it', 'sickened', 'from', 'want\n', 'and', 'cold,', 'or']",CharlesDickens
"['fell', 'into', 'the', 'fire', 'from', 'neglect,', 'or', 'got', 'half-smothered', 'by\n', 'accident;', 'in', 'any', 'one', 'of', 'which', 'cases,', 'the', 'miserable', 'little', 'being', 'was\n', 'usually', 'summoned', 'into']",CharlesDickens
"['another', 'world,', 'and', 'there', 'gathered', 'to', 'the', 'fathers\n', 'it', 'had', 'never', 'known', 'in', 'this.\n', '\n', 'Occasionally,', 'when', 'there', 'was', 'some', 'more', 'than', 'usually', 'interesting', 'inquest\n']",CharlesDickens
"['upon', 'a', 'parish', 'child', 'who', 'had', 'been', 'overlooked', 'in', 'turning', 'up', 'a', 'bedstead,\n', 'or', 'inadvertently', 'scalded', 'to', 'death', 'when', 'there', 'happened', 'to', 'be', 'a\n', 'washing--though']",CharlesDickens
"['the', 'latter', 'accident', 'was', 'very', 'scarce,', 'anything\n', 'approaching', 'to', 'a', 'washing', 'being', 'of', 'rare', 'occurrence', 'in', 'the', 'farm--the', 'jury\n', 'would', 'take', 'it', 'into', 'their', 'heads']",CharlesDickens
"['to', 'ask', 'troublesome', 'questions,', 'or', 'the\n', 'parishioners', 'would', 'rebelliously', 'affix', 'their', 'signatures', 'to', 'a\n', 'remonstrance.', '', 'But', 'these', 'impertinences', 'were', 'speedily', 'checked', 'by', 'the\n', 'evidence']",CharlesDickens
"['of', 'the', 'surgeon,', 'and', 'the', 'testimony', 'of', 'the', 'beadle;', 'the', 'former', 'of\n', 'whom', 'had', 'always', 'opened', 'the', 'body', 'and', 'found', 'nothing', 'inside', '(which', 'was\n', 'very']",CharlesDickens
"['probable', 'indeed),', 'and', 'the', 'latter', 'of', 'whom', 'invariably', 'swore', 'whatever\n', 'the', 'parish', 'wanted;', 'which', 'was', 'very', 'self-devotional.', '', 'Besides,', 'the', 'board\n', 'made', 'periodical', 'pilgrimages', 'to']",CharlesDickens
"['the', 'farm,', 'and', 'always', 'sent', 'the', 'beadle', 'the\n', 'day', 'before,', 'to', 'say', 'they', 'were', 'going.', '', 'The', 'children', 'were', 'neat', 'and', 'clean\n', 'to', 'behold,', 'when']",CharlesDickens
"['_they_', 'went;', 'and', 'what', 'more', 'would', 'the', 'people', 'have!\n', '\n', 'It', 'cannot', 'be', 'expected', 'that', 'this', 'system', 'of', 'farming', 'would', 'produce', 'any\n', 'very', 'extraordinary', 'or']",CharlesDickens
"['luxuriant', 'crop.', '', 'Oliver', ""Twist's"", 'ninth', 'birthday\n', 'found', 'him', 'a', 'pale', 'thin', 'child,', 'somewhat', 'diminutive', 'in', 'stature,', 'and\n', 'decidedly', 'small', 'in', 'circumference.', '', 'But', 'nature']",CharlesDickens
"['or', 'inheritance', 'had\n', 'implanted', 'a', 'good', 'sturdy', 'spirit', 'in', ""Oliver's"", 'breast.', '', 'It', 'had', 'had', 'plenty\n', 'of', 'room', 'to', 'expand,', 'thanks', 'to', 'the', 'spare', 'diet']",CharlesDickens
"['of', 'the', 'establishment;', 'and\n', 'perhaps', 'to', 'this', 'circumstance', 'may', 'be', 'attributed', 'his', 'having', 'any', 'ninth\n', 'birth-day', 'at', 'all.', '', 'Be', 'this', 'as', 'it', 'may,', 'however,']",CharlesDickens
"['it', 'was', 'his', 'ninth\n', 'birthday;', 'and', 'he', 'was', 'keeping', 'it', 'in', 'the', 'coal-cellar', 'with', 'a', 'select', 'party\n', 'of', 'two', 'other', 'young', 'gentleman,', 'who,', 'after', 'participating']",CharlesDickens
"['with', 'him', 'in', 'a\n', 'sound', 'thrashing,', 'had', 'been', 'locked', 'up', 'for', 'atrociously', 'presuming', 'to', 'be\n', 'hungry,', 'when', 'Mrs.', 'Mann,', 'the', 'good', 'lady', 'of', 'the', 'house,']",CharlesDickens
"['was', 'unexpectedly\n', 'startled', 'by', 'the', 'apparition', 'of', 'Mr.', 'Bumble,', 'the', 'beadle,', 'striving', 'to', 'undo\n', 'the', 'wicket', 'of', 'the', 'garden-gate.\n', '\n', ""'Goodness"", 'gracious!', '', 'Is', 'that']",CharlesDickens
"['you,', 'Mr.', 'Bumble,', ""sir?'"", 'said', 'Mrs.', 'Mann,\n', 'thrusting', 'her', 'head', 'out', 'of', 'the', 'window', 'in', 'well-affected', 'ecstasies', 'of', 'joy.\n', ""'(Susan,"", 'take', 'Oliver', 'and', 'them', 'two']",CharlesDickens
"['brats', 'upstairs,', 'and', 'wash', ""'em\n"", 'directly.)--My', 'heart', 'alive!', '', 'Mr.', 'Bumble,', 'how', 'glad', 'I', 'am', 'to', 'see', 'you,\n', ""sure-ly!'\n"", '\n', 'Now,', 'Mr.', 'Bumble', 'was', 'a']",CharlesDickens
"['fat', 'man,', 'and', 'a', 'choleric;', 'so,', 'instead', 'of\n', 'responding', 'to', 'this', 'open-hearted', 'salutation', 'in', 'a', 'kindred', 'spirit,', 'he', 'gave\n', 'the', 'little', 'wicket', 'a', 'tremendous', 'shake,']",CharlesDickens
"['and', 'then', 'bestowed', 'upon', 'it', 'a', 'kick\n', 'which', 'could', 'have', 'emanated', 'from', 'no', 'leg', 'but', 'a', ""beadle's.\n"", '\n', ""'Lor,"", 'only', ""think,'"", 'said', 'Mrs.', 'Mann,', 'running']",CharlesDickens
"['out,--for', 'the', 'three', 'boys', 'had\n', 'been', 'removed', 'by', 'this', ""time,--'only"", 'think', 'of', 'that!', '', 'That', 'I', 'should', 'have\n', 'forgotten', 'that', 'the', 'gate', 'was', 'bolted', 'on']",CharlesDickens
"['the', 'inside,', 'on', 'account', 'of', 'them\n', 'dear', 'children!', '', 'Walk', 'in', 'sir;', 'walk', 'in,', 'pray,', 'Mr.', 'Bumble,', 'do,', ""sir.'\n"", '\n', 'Although', 'this', 'invitation', 'was', 'accompanied']",CharlesDickens
"['with', 'a', 'curtsey', 'that', 'might', 'have\n', 'softened', 'the', 'heart', 'of', 'a', 'church-warden,', 'it', 'by', 'no', 'means', 'mollified', 'the\n', 'beadle.\n', '\n', ""'Do"", 'you', 'think', 'this', 'respectful']",CharlesDickens
"['or', 'proper', 'conduct,', 'Mrs.', ""Mann,'"", 'inquired\n', 'Mr.', 'Bumble,', 'grasping', 'his', 'cane,', ""'to"", 'keep', 'the', 'parish', 'officers', 'a', 'waiting\n', 'at', 'your', 'garden-gate,', 'when', 'they', 'come', 'here']",CharlesDickens
"['upon', 'porochial', 'business', 'with\n', 'the', 'porochial', 'orphans?', '', 'Are', 'you', 'aweer,', 'Mrs.', 'Mann,', 'that', 'you', 'are,', 'as', 'I\n', 'may', 'say,', 'a', 'porochial', 'delegate,', 'and', 'a']",CharlesDickens
"[""stipendiary?'\n"", '\n', ""'I'm"", 'sure', 'Mr.', 'Bumble,', 'that', 'I', 'was', 'only', 'a', 'telling', 'one', 'or', 'two', 'of', 'the', 'dear\n', 'children', 'as', 'is', 'so', 'fond', 'of', 'you,']",CharlesDickens
"['that', 'it', 'was', 'you', 'a', ""coming,'"", 'replied', 'Mrs.\n', 'Mann', 'with', 'great', 'humility.\n', '\n', 'Mr.', 'Bumble', 'had', 'a', 'great', 'idea', 'of', 'his', 'oratorical', 'powers', 'and', 'his\n']",CharlesDickens
"['importance.', '', 'He', 'had', 'displayed', 'the', 'one,', 'and', 'vindicated', 'the', 'other.', 'He\n', 'relaxed.\n', '\n', ""'Well,"", 'well,', 'Mrs.', ""Mann,'"", 'he', 'replied', 'in', 'a', 'calmer', 'tone;', ""'it""]",CharlesDickens
"['may', 'be', 'as', 'you\n', 'say;', 'it', 'may', 'be.', '', 'Lead', 'the', 'way', 'in,', 'Mrs.', 'Mann,', 'for', 'I', 'come', 'on', 'business,\n', 'and', 'have', 'something', 'to', ""say.'\n""]",CharlesDickens
"['\n', 'Mrs.', 'Mann', 'ushered', 'the', 'beadle', 'into', 'a', 'small', 'parlour', 'with', 'a', 'brick', 'floor;\n', 'placed', 'a', 'seat', 'for', 'him;', 'and', 'officiously', 'deposited', 'his', 'cocked', 'hat']",CharlesDickens
"['and\n', 'cane', 'on', 'the', 'table', 'before', 'him.', '', 'Mr.', 'Bumble', 'wiped', 'from', 'his', 'forehead', 'the\n', 'perspiration', 'which', 'his', 'walk', 'had', 'engendered,', 'glanced', 'complacently', 'at', 'the\n']",CharlesDickens
"['cocked', 'hat,', 'and', 'smiled.', '', 'Yes,', 'he', 'smiled.', '', 'Beadles', 'are', 'but', 'men:', 'and', 'Mr.\n', 'Bumble', 'smiled.\n', '\n', ""'Now"", ""don't"", 'you', 'be', 'offended', 'at', 'what']",CharlesDickens
"[""I'm"", 'a', 'going', 'to', ""say,'"", 'observed', 'Mrs.\n', 'Mann,', 'with', 'captivating', 'sweetness.', '', ""'You've"", 'had', 'a', 'long', 'walk,', 'you', 'know,\n', 'or', 'I', ""wouldn't"", 'mention', 'it.', '']",CharlesDickens
"['Now,', 'will', 'you', 'take', 'a', 'little', 'drop', 'of\n', 'somethink,', 'Mr.', ""Bumble?'\n"", '\n', ""'Not"", 'a', 'drop.', '', 'Nor', 'a', ""drop,'"", 'said', 'Mr.', 'Bumble,', 'waving', 'his', 'right']",CharlesDickens
"['hand', 'in', 'a\n', 'dignified,', 'but', 'placid', 'manner.\n', '\n', ""'I"", 'think', 'you', ""will,'"", 'said', 'Mrs.', 'Mann,', 'who', 'had', 'noticed', 'the', 'tone', 'of', 'the\n', 'refusal,', 'and', 'the']",CharlesDickens
"['gesture', 'that', 'had', 'accompanied', 'it.', '', ""'Just"", 'a', 'leetle', 'drop,\n', 'with', 'a', 'little', 'cold', 'water,', 'and', 'a', 'lump', 'of', ""sugar.'\n"", '\n', 'Mr.', 'Bumble', 'coughed.\n', '\n']",CharlesDickens
"[""'Now,"", 'just', 'a', 'leetle', ""drop,'"", 'said', 'Mrs.', 'Mann', 'persuasively.\n', '\n', ""'What"", 'is', ""it?'"", 'inquired', 'the', 'beadle.\n', '\n', ""'Why,"", ""it's"", 'what', ""I'm"", 'obliged', 'to', 'keep', 'a']",CharlesDickens
"['little', 'of', 'in', 'the', 'house,', 'to', 'put\n', 'into', 'the', 'blessed', ""infants'"", 'Daffy,', 'when', 'they', ""ain't"", 'well,', 'Mr.', ""Bumble,'\n"", 'replied', 'Mrs.', 'Mann', 'as', 'she', 'opened', 'a']",CharlesDickens
"['corner', 'cupboard,', 'and', 'took', 'down', 'a\n', 'bottle', 'and', 'glass.', '', ""'It's"", 'gin.', '', ""I'll"", 'not', 'deceive', 'you,', 'Mr.', 'B.', '', ""It's"", ""gin.'\n"", '\n', ""'Do"", 'you']",CharlesDickens
"['give', 'the', 'children', 'Daffy,', 'Mrs.', ""Mann?'"", 'inquired', 'Bumble,', 'following\n', 'with', 'his', 'eyes', 'the', 'interesting', 'process', 'of', 'mixing.\n', '\n', ""'Ah,"", 'bless', ""'em,"", 'that', 'I', 'do,', 'dear']",CharlesDickens
