text,Author,Author_num
"['things', 'that', 'a', 'crowd', 'says', 'when', ""they've"", 'got', 'hold', 'of', 'a', 'feller', 'that\n', 'they', 'see', 'they', 'can', 'plague.', 'Well,', 'some', 'things', 'they', 'said', 'WAS', 'funny,--yes,\n']",MarkTwain,1
"['it', 'was', 'and', 'there', ""warn't"", 'no', 'getting', 'around', 'it.', 'He', 'said', 'it', 'had\n', 'always', 'been', 'just', 'so,', 'and', ""he'd"", 'just', 'as', 'soon', 'be', 'where', 'there']",MarkTwain,1
"['dead', 'lion,', 'a', 'small', 'tender', 'one,', 'then', 'yanked', 'up', 'a', 'cub', 'tiger.\n', 'We', 'had', 'to', 'keep', 'the', 'congregation', 'off', 'with', 'the', 'revolver,', 'or', 'they', 'would']",MarkTwain,1
"['the', 'body,', 'and', 'raised', 'the', 'left', 'hand.', '', ""'The"", 'old\n', ""story,'"", 'he', 'said,', 'shaking', 'his', 'head:', ""'no"", 'wedding-ring,', 'I', 'see.', 'Ah!\n', ""Good-night!'\n"", '\n', 'The', 'medical']",CharlesDickens,0
"['you', 'wanted', 'it.', 'And', 'look', 'at', 'Russia.', 'It', 'spreads', 'all', 'around', 'and\n', 'everywhere,', 'and', 'yet', ""ain't"", 'no', 'more', 'important', 'in', 'this', 'world', 'than', 'Rhode\n', 'Island']",MarkTwain,1
"['and\n', 'mortar', 'elysium,', 'where', 'it', 'was', 'all', 'play', 'and', 'no', 'work.', '', ""'Oho!'"", 'said', 'the\n', 'board,', 'looking', 'very', 'knowing;', ""'we"", 'are', 'the', 'fellows', 'to', 'set']",CharlesDickens,0
"['dancing,', 'and', 'making', 'signs,', 'and', 'yelling.', 'We', ""couldn't"", 'make', 'out', 'what\n', 'he', 'said,', 'but', 'we', 'was', 'scared', 'anyway,', 'and', 'begun', 'to', 'heel', 'it', 'back', 'to']",MarkTwain,1
"['doubtless', 'provide', 'Oliver', 'with', 'a\n', 'comfortable', 'place,', 'without', 'loss', 'of', 'time.', '', 'This', 'led', 'to', 'a', 'more', 'friendly\n', 'and', 'confidential', 'dialogue;', 'from', 'which', 'Oliver', 'discovered']",CharlesDickens,0
"['as', 'the', 'hungry', 'pig', 'was,', 'when', 'he', 'was', 'shut', 'up,', 'by', 'mistake,', 'in\n', 'the', 'grain', 'department', 'of', 'a', 'brewery.\n', '\n', 'And', 'now,', 'I', 'come', 'to']",CharlesDickens,0
"['is,', 'and', ""hasn't"", 'got', 'half', 'as', 'much', 'in', 'it', ""that's"", 'worth', 'saving.ï¿½\n', '\n', 'Away', 'off', 'now', 'we', 'see', 'a', 'little', 'hill,', 'a-standing', 'up', 'just', 'on']",MarkTwain,1
"['lost,', 'and', ""it's"", 'wet', 'and', 'lonesome,', 'and', ""there's"", 'just\n', 'been', 'a', 'death', 'in', 'the', 'family.\n', '\n', 'We', 'set', 'there', 'huddled', 'up', 'in', 'the', 'bow,', 'and']",MarkTwain,1
"['there', 'ensued', 'a', 'brief', 'interval', 'of', 'time,', 'which', 'Noah', 'Claypole,\n', 'being', 'hungry', 'and', 'vicious,', 'considered', 'he', 'could', 'not', 'possibly', 'devote', 'to', 'a\n', 'worthier', 'purpose', 'than']",CharlesDickens,0
"['The', 'gentleman', 'who', 'spoke', 'last', 'was\n', 'unconsciously', 'right.', '', 'It', 'would', 'have', 'been', 'very', 'like', 'a', 'Christian,', 'and', 'a\n', 'marvellously', 'good', 'Christian', 'too,', 'if', 'Oliver']",CharlesDickens,0
"['her;', 'and', 'then\n', 'her', 'bones', 'were', 'starting', 'through', 'the', 'skin.', '', 'There', 'was', 'neither', 'fire', 'nor\n', 'candle;', 'she', 'died', 'in', 'the', 'dark--in', 'the', 'dark!', '']",CharlesDickens,0
"['an', 'hour', 'fast.ï¿½\n', '\n', 'So', 'he', 'put', 'up', 'his', 'turnip.', 'Then', 'he', 'see', 'another', 'clock,', 'and', 'took', 'a', 'look,', 'and\n', 'it', 'was', 'an', 'hour', 'fast']",MarkTwain,1
"['old', 'gentleman,', ""'you"", 'look', 'pale', 'and', 'alarmed.', 'What', 'is\n', 'the', ""matter?'\n"", '\n', ""'Stand"", 'a', 'little', 'away', 'from', 'him,', ""Beadle,'"", 'said', 'the', 'other', 'magistrate:\n', 'laying', 'aside']",CharlesDickens,0
"['him\n', 'or', 'not,', 'and', 'Tom', ""didn't"", 'make', 'a', 'sound.\n', '\n', 'There', 'was', 'another', 'long,', 'horrible', 'wait;', 'then', 'there', 'was', 'a', 'flash,', 'and', 'I\n', 'see', ""Tom's""]",MarkTwain,1
"['harm,', 'till', ""we've"", 'had', 'practice--I\n', 'knows', 'it', 'perfectly', 'well,', 'Mars', ""Tom--'deed"", 'I', 'knows', 'it', 'perfectly', 'well.', 'But\n', 'ef', 'we', 'takes', ""a'"", 'axe', 'or', 'two,', 'jist']",MarkTwain,1
"['enough', 'he', 'was', 'as', 'blind', 'as', 'a', 'bat', 'in', 'a', 'minute.\n', '\n', 'Then', 'the', 'dervish', 'laughed', 'at', 'him', 'and', 'mocked', 'at', 'him', 'and', 'made', 'fun']",MarkTwain,1
"['left', 'side', 'because\n', 'he', 'only', 'nibbled', 'the', 'grass', 'on', 'the', 'right', 'side', 'of', 'the', 'trail.', 'I', 'knowed', 'he\n', 'had', 'lost', 'an', 'upper', 'front', 'tooth', 'because']",MarkTwain,1
"['call', 'meridians', 'of', 'longitude,', 'and\n', 'we', 'can', 'drop', 'down', 'and', 'look', 'at', 'its', 'number,', 'and--ï¿½\n', '\n', 'ï¿½Oh,', 'shucks,', 'Huck', 'Finn,', 'I', 'never', 'see', 'such', 'a']",MarkTwain,1
"['to', 'be', 'some', 'very', 'minute\n', 'inscription', 'on', 'it;', 'for', 'the', 'Jew', 'laid', 'it', 'flat', 'upon', 'the', 'table,', 'and', 'shading\n', 'it', 'with', 'his', 'hand,', 'pored', 'over']",CharlesDickens,0
"['right;', ""beca'se"", 'ef', 'dey', ""didn't"", 'know,', 'dey\n', ""ain't"", 'no', 'use', 'for', ""po'"", 'ignorant', 'folks', 'like', 'us', 'to', 'be', 'trying', 'to', 'know;', 'en', 'so,\n', 'ef', ""it's""]",MarkTwain,1
"['black', 'string', 'stretched\n', 'across', 'the', 'sand,', 'but', 'he', ""couldn't"", 'guess', 'what', 'it', 'was.\n', '\n', 'ï¿½Well,ï¿½', 'I', 'says,', 'ï¿½I', 'reckon', 'maybe', ""you've"", 'got', 'a', 'chance', 'now']",MarkTwain,1
"['the', 'ham', 'being', 'kept', 'clean', 'and', 'preserved', 'from', 'dust,', 'by', 'the\n', 'ingenious', 'expedient', 'of', 'making', 'a', 'hole', 'in', 'the', 'loaf', 'by', 'pulling', 'out', 'a\n', 'portion']",CharlesDickens,0
"['now\n', 'that', 'his', 'jealousy', 'was', 'roused', 'by', 'seeing', 'the', 'new', 'boy', 'promoted', 'to', 'the\n', 'black', 'stick', 'and', 'hatband,', 'while', 'he,', 'the', 'old', 'one,', 'remained', 'stationary']",CharlesDickens,0
"['by', 'reason', 'of', 'his', 'fatigue', 'and', 'sore', 'feet.', '', 'When\n', 'the', 'outsides', 'saw', 'this,', 'they', 'put', 'their', 'halfpence', 'back', 'into', 'their', 'pockets\n', 'again,', 'declaring', 'that']",CharlesDickens,0
"['way', 'out--but', 'I', ""didn't\n"", 'mind.', ""We'd"", 'spotted', 'the', 'soft', 'place', 'in', 'that', 'tale', 'sharp', 'enough,', 'he', ""couldn't\n"", 'git', 'away', 'from', 'that', 'little', 'fact.', 'It', 'graveled']",MarkTwain,1
"['Noah,', 'look', 'after', 'the', 'shop.', 'Oliver,', 'put', 'on', 'your', 'cap,\n', 'and', 'come', 'with', ""me.'"", '', 'Oliver', 'obeyed,', 'and', 'followed', 'his', 'master', 'on', 'his\n', 'professional', 'mission.\n']",CharlesDickens,0
"['was', 'just', 'exactly', 'enough', 'star-stuff,', 'and', 'none', 'left', 'over?\n', 'How', 'does', 'it', 'come', 'there', ""ain't"", 'no', 'sand-pile', 'up', 'there?ï¿½\n', '\n', 'But', 'Jim', 'was', 'fixed', 'for']",MarkTwain,1
"['river,', 'either.\n', 'Tom', 'was', 'clean', 'beat.', 'He', 'said', 'it', ""warn't"", 'his', 'notion', 'of', 'England;', 'he', 'thought\n', 'England', 'looked', 'like', 'America,', 'and', 'always', 'had', 'that', 'idea.']",MarkTwain,1
"['said', 'the', 'second', 'old', 'gentleman,', 'when', 'Mr.\n', 'Bumble', 'had', 'given', 'vent', 'to', 'this', 'compound', 'adjective.\n', '\n', ""'I"", 'beg', 'your', ""worship's"", ""pardon,'"", 'said', 'Mr.', 'Bumble,', 'incredulous']",CharlesDickens,0
"['much', 'tickled', 'at', 'this:', 'as', 'of', 'course', 'he', 'ought', 'to', 'be;\n', 'and', 'laughed', 'a', 'long', 'time', 'without', 'cessation.', '', ""'Well,"", 'well,', 'Mr.', ""Bumble,'\n"", 'he', 'said']",CharlesDickens,0
"['it--and', 'all', 'of', 'a', 'sudden', 'it', 'was\n', 'gone', 'again!', 'Jim', 'staggered,', 'and', ""'most"", 'fell', 'down.', 'When', 'he', 'got', 'his', 'breath\n', 'he', 'says,', 'gasping', 'like', 'a']",MarkTwain,1
"['is', 'keeping', 'Grinnage', 'time,', 'and', 'the', 'other', 'is', 'keeping\n', 'St.', 'Louis', 'time,', 'like', 'my', 'watch.', 'When', 'we', 'left', 'St.', 'Louis', 'it', 'was', 'four', 'in', 'the\n']",MarkTwain,1
"['\n', ""'Well,"", ""Oliver,'"", 'said', 'Sowerberry,', 'as', 'they', 'walked', 'home,', ""'how"", 'do', 'you', 'like\n', ""it?'\n"", '\n', ""'Pretty"", 'well,', 'thank', 'you,', ""sir'"", 'replied', 'Oliver,', 'with', 'considerable\n', 'hesitation.']",CharlesDickens,0
"['run\n', 'across', 'a', 'camel-driver', 'with', 'a', 'hundred', 'camels,', 'and', 'asked', 'him', 'for', 'some\n', ""a'ms."", 'But', 'the', 'cameldriver', 'he', 'asked', 'to', 'be', 'excused.', 'The', 'dervish', 'said:\n']",MarkTwain,1
"['made', 'a', 'picture', 'in', 'the', 'moonlight', 'that', 'was', 'more', 'different', 'than', 'any', 'picture\n', 'I', 'ever', 'see.', 'We', 'had', 'a', 'line', 'out', 'and', 'made', 'fast', 'to']",MarkTwain,1
"['he', 'see', 'Tom', 'was', 'getting', 'pretty', 'tetchy:\n', '\n', 'ï¿½Mars', 'Tom,', 'what', 'is', 'a', 'metaphor?ï¿½\n', '\n', 'ï¿½A', ""metaphor's"", 'a--well,', ""it's"", 'a--a--a', ""metaphor's"", 'an', 'illustration.ï¿½', 'He', 'see\n']",MarkTwain,1
"['Oliver', 'had\n', 'been', 'stationed', 'by', 'Mr.', 'Bumble', 'in', 'front', 'of', 'the', 'desk.\n', '\n', ""'This"", 'is', 'the', 'boy,', 'your', ""worship,'"", 'said', 'Mr.', 'Bumble.\n', '\n', 'The', 'old']",CharlesDickens,0
"['he', 'was', 'asleep;', 'but', 'he\n', 'broke', 'loose', 'now,', 'and', 'he', 'was', 'mighty', 'bitter.', 'He', 'says', 'something', 'like', 'this:\n', '\n', 'ï¿½Idiots!', 'They', 'said', 'it', ""wouldn't"", 'go;']",MarkTwain,1
"[""haven't"", 'any', 'business', 'to', 'be', 'there', 'defiling', 'it.', ""It's"", 'a', 'shame,', 'and', 'we', 'ought\n', 'not', 'to', 'stand', 'it', 'a', 'minute.', 'We', 'ought', 'to', 'march', 'against']",MarkTwain,1
"['to', 'this', 'raving;', 'but', 'producing', 'a', 'tape\n', 'from', 'his', 'pocket,', 'knelt', 'down', 'for', 'a', 'moment', 'by', 'the', 'side', 'of', 'the', 'body.\n', '\n', ""'Ah!'"", 'said', 'the']",CharlesDickens,0
"['business:', ""that's"", 'all', 'it', 'is,', ""it's"", 'all\n', 'you', 'can', 'say', 'for', 'it;', 'but', 'this', 'is', 'higher,', 'this', 'is', 'religious,', 'and', 'totally\n', 'different.ï¿½\n', '\n', 'ï¿½Religious', 'to']",MarkTwain,1
"['all', 'the', 'sense', ""they've"", 'got.', 'All', 'they\n', 'can', 'see', 'is', 'SIZE.', 'Why,', 'look', 'at', 'England.', ""It's"", 'the', 'most', 'important', 'country\n', 'in', 'the', 'world;', 'and', 'yet']",MarkTwain,1
"['than\n', 'himself,', 'he', 'had', 'been', 'his', 'little', 'friend', 'and', 'playmate.', '', 'They', 'had', 'been\n', 'beaten,', 'and', 'starved,', 'and', 'shut', 'up', 'together,', 'many', 'and', 'many', 'a']",CharlesDickens,0
"['side;', 'but', 'I', 'was', 'hanging', 'there', 'helpless', 'and', ""couldn't\n"", 'climb,', 'and', 'that', 'made', 'me', 'feel', 'perfectly', 'wretched', 'and', 'miserable', 'all', 'down\n', 'the', 'other.', 'It', 'is']",MarkTwain,1
"['hind', 'leg', 'because', 'he', 'had', 'favored', 'that', 'foot', 'and', 'trod', 'light', 'on', 'it,\n', 'and', 'his', 'track', 'showed', 'it.', 'I', 'knowed', 'he', 'was', 'blind', 'on', 'his']",MarkTwain,1
"['was', 'gone!\n', '\n', ""Tom's"", 'eyes', 'took', 'a', 'spread,', 'and', 'he', 'says:\n', '\n', 'ï¿½Boys,', 'it', 'was', 'a', 'MYridge!ï¿½', 'Said', 'it', 'like', 'he', 'was', 'glad.', 'I', ""didn't""]",MarkTwain,1
"['in', 'a', 'very\n', 'low', 'voice,', 'and', 'kept', 'on', 'getting', 'creepier', 'and', 'lonesomer', 'and', 'less', 'and', 'less\n', 'talky,', 'till', 'at', 'last', 'the', 'talk', 'ran', 'dry', 'altogether,']",MarkTwain,1
"['event', 'should', 'take', 'place;', 'and', 'entered', 'upon', 'various', 'topics', 'of', 'petty\n', 'annoyance,', 'like', 'a', 'malicious', 'and', 'ill-conditioned', 'charity-boy', 'as', 'he', 'was.\n', 'But,', 'making', 'Oliver', 'cry,']",CharlesDickens,0
"['inducing', 'Oliver', 'to', 'take', 'upon', 'himself', 'the', 'office', 'of\n', 'respiration,--a', 'troublesome', 'practice,', 'but', 'one', 'which', 'custom', 'has', 'rendered\n', 'necessary', 'to', 'our', 'easy', 'existence;', 'and', 'for']",CharlesDickens,0
"['to', 'looking', 'like', 'ants', 'and', 'bugs\n', 'crawling', 'around,', 'and', 'the', 'streets', 'like', 'threads', 'and', 'cracks;', 'and', 'then', 'it\n', 'all', 'kind', 'of', 'melted', 'together,', 'and', 'there']",MarkTwain,1
"['you', ""give?'\n"", '\n', ""'I"", 'should', 'say,', 'three', 'pound', 'ten', 'was', ""plenty,'"", 'said', 'Mr.', 'Limbkins.\n', '\n', ""'Ten"", 'shillings', 'too', ""much,'"", 'said', 'the', 'gentleman', 'in', 'the', 'white']",CharlesDickens,0
"['so--you', ""can't"", 'deny', 'it.', 'We', 'all', 'seen', 'it,', 'en', 'dat\n', 'PROVE', 'it', 'was', 'dah.ï¿½\n', '\n', 'ï¿½Proves', 'it!', 'How', 'does', 'it', 'prove', 'it?ï¿½\n', '\n', 'ï¿½Same', 'way']",MarkTwain,1
"['dear', 'heart,', ""no!'"", 'interposed', 'the', 'nurse,', 'hastily\n', 'depositing', 'in', 'her', 'pocket', 'a', 'green', 'glass', 'bottle,', 'the', 'contents', 'of', 'which\n', 'she', 'had', 'been', 'tasting', 'in', 'a']",CharlesDickens,0
"['was', 'kind', ""o'"", 'gasping,', 'he', 'was', 'so', 'scared.', 'He', 'says:\n', '\n', 'ï¿½Oh,', 'Mars', 'Tom,', ""DON'T!"", 'Ef', 'you', 'teches', 'him,', ""we's"", ""gone--we's"", 'gone', ""sho'!\n"", 'I', ""ain't""]",MarkTwain,1
"['interposed', 'Mr.', 'Bumble:', 'with', 'a', 'gleam', 'of', 'pleasure', 'in', 'his\n', 'metallic', 'eyes.', ""'Not"", 'run', 'away;', 'he', ""hasn't"", 'run', 'away,', 'has', 'he,', ""Noah?'\n"", '\n', ""'No,"", 'sir,']",CharlesDickens,0
"['he', ""ain't"", 'got', 'none', 'of', 'his', 'own.', 'I', 'reckon\n', ""there's"", 'lots', 'of', 'people', 'like', 'that', 'dervish.', 'They', 'swindle,', 'right', 'and', 'left,\n', 'but', 'they', 'always', 'make']",MarkTwain,1
"[""'Are"", 'you', ""sure?'"", 'cried', 'the', 'Jew:', 'with', 'a', 'still', 'fiercer', 'look', 'than', 'before:\n', 'and', 'a', 'threatening', 'attitude.\n', '\n', ""'Upon"", 'my', 'word', 'I', 'was', 'not,', ""sir,'""]",CharlesDickens,0
"['night', 'closed', 'in', 'again.', 'His', 'feet', 'were', 'sore,', 'and', 'his\n', 'legs', 'so', 'weak', 'that', 'they', 'trembled', 'beneath', 'him.', '', 'Another', 'night', 'passed', 'in\n', 'the', 'bleak']",CharlesDickens,0
"['for', 'sivin', ""days!'"", 'said', 'the', 'young', 'gentleman.', '', ""'Oh,"", 'I', 'see.', ""Beak's\n"", 'order,', 'eh?', '', ""But,'"", 'he', 'added,', 'noticing', ""Oliver's"", 'look', 'of', 'surprise,', ""'I\n"", 'suppose']",CharlesDickens,0
"['drunken', 'soldier,', 'discharged', 'with', 'a', 'wooden', 'leg,', 'and', 'a', 'diurnal\n', 'pension', 'of', 'twopence-halfpenny', 'and', 'an', 'unstateable', 'fraction.', '', 'The\n', 'shop-boys', 'in', 'the', 'neighbourhood', 'had', 'long']",CharlesDickens,0
"['down', 'on', 'top', 'of', 'the', 'United', 'States,', 'it', 'would\n', 'cover', 'the', 'land', 'of', 'the', 'free', 'out', 'of', 'sight', 'like', 'a', 'blanket.', ""There'd"", 'be\n', 'a', 'little']",MarkTwain,1
"['and', 'skin', 'right', 'along', 'over', 'the', 'top', 'of', 'it.\n', 'Yes,', 'and', 'he', 'showed', 'Tom', 'how', 'to', 'land', 'her;', 'and', 'he', 'done', 'it', 'first-rate,', 'too,\n', 'and']",MarkTwain,1
"['York,', 'and', 'begun', 'to', 'jaw', 'and\n', 'dispute', 'about', 'it,', 'and,', 'first', 'we', 'knowed,', 'it', 'slid', 'from', 'under', 'us', 'and', 'went\n', 'flying', 'behind,', 'and', 'here', 'we']",MarkTwain,1
"['rather', 'as', 'Mr.', 'Bumble', 'threw', 'in', 'a', 'gentle', 'hint,', 'that', 'if', 'he', 'failed', 'in\n', 'either', 'particular,', 'there', 'was', 'no', 'telling', 'what', 'would', 'be', 'done', 'to']",CharlesDickens,0
"[""wouldn't"", ""'a'"", 'tuck', 'no', 'sich', 'resk.', 'But', 'some', 'people\n', ""ain't"", 'scared', ""o'"", ""nothin'."", 'Dey', 'bangs', 'right', 'ahead;', 'DEY', ""don't"", 'care', 'what\n', 'happens.', 'So', 'den', ""dey's""]",MarkTwain,1
"[""didn't"", 'say', 'nothing', 'at', 'all.\n', '\n', 'He', 'went', 'aft', 'and', 'set', 'down,', 'but', 'he', ""couldn't"", 'seem', 'to', 'git', 'that', 'thing', 'out', 'of\n', 'his', 'mind.', 'Every']",MarkTwain,1
"['very', 'much', 'to', 'the', 'amazement', 'of', 'Oliver,', 'who', 'saw', 'nothing', 'to\n', 'laugh', 'at,', 'in', 'anything', 'that', 'had', 'passed.\n', '\n', ""'And"", 'what', 'have', 'you', 'got,', 'my']",CharlesDickens,0
"['he', 'says:\n', '\n', 'ï¿½You', 'want', 'to', 'leave', 'me.', ""Don't"", 'try', 'to', 'deny', 'it.ï¿½\n', '\n', 'We', ""didn't"", 'know', 'what', 'to', 'say,', 'so', 'we', 'held', 'in', 'and']",MarkTwain,1
"['of', 'his', 'hat.\n', '\n', ""'Well,'"", 'said', 'the', 'Jew,', 'glancing', 'slyly', 'at', 'Oliver,', 'and', 'addressing', 'himself\n', 'to', 'the', 'Dodger,', ""'I"", 'hope', ""you've"", 'been', 'at', 'work', 'this']",CharlesDickens,0
"['person\n', ""that's"", 'been', 'shot', 'in', 'the', 'back', 'with', 'a', 'kag', 'of', 'nails.', 'All', 'he', 'said', 'was,\n', 'as', 'for', 'people', 'like', 'me', 'and', 'Jim,', ""he'd"", 'just']",MarkTwain,1
"['rag,', 'and', 'I', 'run', 'and', 'picked', 'him', 'up', 'and', 'he', 'was', 'dead,\n', 'and', 'his', 'body', 'was', 'warm', 'in', 'my', 'hand,', 'and', 'his', 'head', 'rolled', 'about']",MarkTwain,1
"['place', 'again.', '', 'He', 'wore', 'a', ""man's"", 'coat,', 'which\n', 'reached', 'nearly', 'to', 'his', 'heels.', '', 'He', 'had', 'turned', 'the', 'cuffs', 'back,', 'half-way', 'up\n', 'his', 'arm,']",CharlesDickens,0
"['performed', 'in\n', 'this', 'way.', 'The', 'merry', 'old', 'gentleman,', 'placing', 'a', 'snuff-box', 'in', 'one', 'pocket', 'of\n', 'his', 'trousers,', 'a', 'note-case', 'in', 'the', 'other,', 'and', 'a', 'watch']",CharlesDickens,0
"['ï¿½Mars', 'Tom,', 'who', 'put', 'de', 'people', 'out', 'yonder', 'in', 'St.', 'Louis?', 'De', 'Lord', 'done', 'it.\n', 'Who', 'put', 'de', 'people', 'here', 'whar', 'we', 'is?', 'De', 'Lord']",MarkTwain,1
"[""there's"", 'plenty', 'sand,', 'you', ""needn't"", 'worry.ï¿½\n', '\n', 'ï¿½Oh,', 'I', ""ain't"", ""a-worryin',"", 'Mars', 'Tom,', 'only', ""wonderin',"", ""dat's"", 'all.', 'De', ""Lord's\n"", 'got', 'plenty', ""san',"", 'I', ""ain't"", ""doubtin'""]",MarkTwain,1
"['please,', 'sir,', 'missis', 'wants', 'to', 'know\n', 'whether', 'Mr.', 'Bumble', 'can', 'spare', 'time', 'to', 'step', 'up', 'there,', 'directly,', 'and', 'flog\n', ""him--'cause"", ""master's"", ""out.'\n"", '\n', ""'Certainly,"", 'my']",CharlesDickens,0
"[""gradu'ly,"", 'on', 'account\n', 'of', 'other', 'things', 'turning', 'up', 'for', 'the', 'people', 'to', 'talk', 'about--first', 'a\n', 'horse-race,', 'and', 'on', 'top', 'of', 'that', 'a', 'house', 'afire,', 'and']",MarkTwain,1
"['one', 'side', 'and', 'honey', 'on', 'the', 'other?ï¿½\n', '\n', 'ï¿½Yes,', 'but', 'you', ""needn't"", 'go', 'into', 'no', 'more', ""details--that's"", 'the', 'one,', 'and', ""I'm\n"", 'in', 'a', 'hurry.', 'Where']",MarkTwain,1
"['he', 'may', 'go', 'without', ""'em."", '', 'I', 'dare\n', 'say', 'the', 'boy', ""isn't"", 'too', 'dainty', 'to', 'eat', ""'em--are"", 'you,', ""boy?'\n"", '\n', 'Oliver,', 'whose', 'eyes', 'had', 'glistened']",CharlesDickens,0
"['that', 'that', 'were', 'his', 'coffin,', 'and', 'that', 'he', 'could', 'be\n', 'lain', 'in', 'a', 'calm', 'and', 'lasting', 'sleep', 'in', 'the', 'churchyard', 'ground,', 'with', 'the\n', 'tall', 'grass']",CharlesDickens,0
"['life,', 'Huck!ï¿½\n', '\n', 'Oh,', 'and', ""didn't"", 'we!', 'We', 'never', 'stopped', 'for', 'clothes,', 'but', 'waltzed', 'up', 'the\n', 'ladder', 'just', 'so.', 'Jim', 'lost', 'his', 'head', 'straight', 'off--he']",MarkTwain,1
"['inside', 'through\n', 'the', 'windows,', 'and', 'he', 'was', 'in', 'awful', 'danger;', 'but', 'the', 'more', 'they', 'all', 'shouted\n', 'the', 'more', 'the', 'nigger', 'whooped', 'and', 'yelled', 'and', 'lashed']",MarkTwain,1
"['him', 'well,\n', 'and', 'feed', 'him,', 'and', 'do', 'all', 'that', 'sort', 'of', 'thing,', 'will', ""you?'"", 'said', 'the', 'old\n', 'gentleman.\n', '\n', ""'When"", 'I', 'says', 'I', 'will,', 'I']",CharlesDickens,0
"['the', 'room,', 'and,', 'amidst', 'the', 'jeers', 'and', 'pointings', 'of\n', 'Noah', 'and', 'Charlotte,', 'ordered', 'him', 'upstairs', 'to', 'his', 'dismal', 'bed.\n', '\n', 'It', 'was', 'not', 'until', 'he']",CharlesDickens,0
"['had,', 'that', 'being', 'comprised', 'within', 'a', 'couple', 'of\n', 'pages,', 'they', 'would', 'have', 'possessed', 'the', 'inestimable', 'merit', 'of', 'being', 'the\n', 'most', 'concise', 'and', 'faithful', 'specimen', 'of']",CharlesDickens,0
"['the', 'kitchen\n', 'by', 'a', 'side-door,', 'while', 'the', 'latter', 'paused', 'on', 'the', 'staircase', 'till', 'she', 'was\n', 'quite', 'certain', 'that', 'it', 'was', 'consistent', 'with', 'the', 'preservation', 'of']",CharlesDickens,0
"['like', 'a', 'man', 'laying', 'on', 'top', 'of\n', 'the', 'mound', 'that', 'raised', 'his', 'head', 'up', 'every', 'now', 'and', 'then,', 'and', 'seemed', 'to', 'be\n', 'watching', 'the', 'caravan']",MarkTwain,1
"['desert?ï¿½\n', '\n', 'ï¿½Well,', 'go', 'on.', 'How', 'DID', 'He', 'come', 'to', 'make', 'it?ï¿½\n', '\n', 'ï¿½Mars', 'Tom,', 'I', ""b'lieve"", 'it', 'uz', 'jes', 'like', 'when', ""you's"", ""buildin'"", 'a']",MarkTwain,1
